id,Suburb,neighboring_suburbs,area,percent_area_affected,bushfire_affected
8533,BRUTHEN,"FAIRY DELL, DOUBLE BRIDGES",0.9310008507423173,1.156,Yes
8748,EDI UPPER,"DANDONGADALE, CARBOOR, ROSE RIVER",4.5144753994558,2.493,Yes
8637,BIGGARA,"TOM GROGGIN, NARIEL VALLEY, THOWGLA VALLEY",182.6515446866933,92.781,Yes
8673,EUROA,,4.416170690104391,2.054,Yes
8025,MURMUNGEE,EVERTON UPPER,0.18219922690821963,0.299,Yes
8463,CARAPOOEE,STUART MILL,0.22355217561158447,0.269,Yes
8468,ULLSWATER,,1.0880564560231587,1.283,Yes
9014,ABBEYARD,"DANDONGADALE, SELWYN, ROSE RIVER",207.41229753436733,56.566,Yes
8550,WANDILIGONG,BUCKLAND,0.020595442083521227,0.033,Yes
8608,POOLAIJELO,,0.04843022692165083,0.026,Yes
8829,BUNDARA,"GLEN VALLEY, NELSE, HOTHAM HEIGHTS, SHANNONVALE, DINNER PLAIN, ANGLERS REST, FALLS CREEK, COBUNGRA",125.35783794960662,90.523,Yes
11151,BRODRIBB RIVER,CABBAGE TREE CREEK,44.68238302806911,49.459,Yes
9209,BLOWHARD,,0.04088736045653133,0.138,Yes
8813,WINTON NORTH,,0.01810311528120917,0.016,Yes
9229,ENSAY,"STIRLING, BROOKVILLE, TAMBO CROSSING, NUNNIONG, REEDY FLAT, TIMBARRA, ENSAY NORTH",22.076914921546404,16.164,Yes
9230,NUNNIONG,"WULGULMERANG WEST, BRUMBY, BUCHAN, ENSAY, REEDY FLAT, BINDI, ENSAY NORTH",175.7943358037215,43.447,Yes
9890,LOCKINGTON,,0.14288736211779648,0.121,Yes
9065,KELVIN VIEW,,0.0009644152756851586,0.003,Yes
9259,REEDY FLAT,"BUCHAN, ENSAY, NUNNIONG, TIMBARRA",58.150492879277785,60.477,Yes
9550,TOL TOL,,0.0009083617732779578,0.001,Yes
9105,DEDDICK VALLEY,"GELANTIPY, YALMY",91.42210051435156,16.173,Yes
8792,CLUNES,,0.31520672620082957,0.186,Yes
11150,CABBAGE TREE CREEK,"NURRAN, BELLBIRD CREEK, MANORINA, MARLO, BRODRIBB RIVER, ERRINUNDRA, CLUB TERRACE",238.46900738306078,67.101,Yes
9041,TOOAN,JILPANGER,1.9840812590059098,1.618,Yes
