LATITUDE,LONGITUDE,BRIGHTNESS,ACQ_DATE,ACQ_TIME,suburb
-36.5701,147.1353,308.6,2019-11-24,1335,UPPER GUNDOWRING
-36.552,147.1586,312.1,2019-11-24,1513,ESKDALE
-36.5658,147.2422,302.5,2019-11-24,1513,ESKDALE
-36.5706,147.1544,306.9,2019-11-24,1513,UPPER GUNDOWRING
-36.6069,147.2577,319.2,2019-11-24,1513,MITTA MITTA
-36.6004,147.1592,309.6,2019-11-24,1513,MONGANS BRIDGE
-36.623000000000005,147.1789,308.0,2019-11-24,1513,ESKDALE
-36.6805,147.381,306.2,2019-11-24,1513,MITTA MITTA
-36.6824,147.3922,303.8,2019-11-24,1513,MITTA MITTA
-36.7284,147.3806,300.9,2019-11-24,1513,MITTA MITTA
-36.7377,147.379,308.7,2019-11-24,1513,MITTA MITTA
-36.7971,147.4073,303.9,2019-11-24,1513,NELSE
-36.8736,147.4306,303.5,2019-11-24,1513,GLEN VALLEY
-36.8847,147.4398,303.1,2019-11-24,1513,GLEN VALLEY
-36.8865,147.4512,305.0,2019-11-24,1513,GLEN VALLEY
-36.9012,146.7412,306.3,2019-11-24,1513,DANDONGADALE
-36.964,146.6266,321.8,2019-11-24,1513,ROSE RIVER
-37.0595,146.9298,307.4,2019-11-24,1513,SELWYN
-37.0669,146.916,308.8,2019-11-24,1513,SELWYN
-37.0689,146.9277,316.8,2019-11-24,1513,SELWYN
-37.2916,148.3146,333.4,2019-11-24,1513,W TREE
-37.2934,148.3259,335.1,2019-11-24,1513,W TREE
-37.2951,148.3371,310.9,2019-11-24,1513,W TREE
-37.0782,146.9256,308.0,2019-11-24,1513,SELWYN
-37.2989,148.3009,320.2,2019-11-24,1513,W TREE
-37.3007,148.3124,346.9,2019-11-24,1513,W TREE
-37.3041,148.3351,317.1,2019-11-24,1513,W TREE
-37.3079,148.2988,360.6,2019-11-24,1513,W TREE
-37.3097,148.3102,376.5,2019-11-24,1513,W TREE
-37.3132,148.333,326.2,2019-11-24,1513,W TREE
-37.3169,148.2966,316.5,2019-11-24,1513,W TREE
-37.3187,148.308,350.4,2019-11-24,1513,W TREE
-37.3205,148.3195,343.4,2019-11-24,1513,W TREE
-37.3242,148.2829,311.1,2019-11-24,1513,W TREE
-37.326,148.2945,346.6,2019-11-24,1513,W TREE
-37.3277,148.306,336.3,2019-11-24,1513,W TREE
-37.3295,148.3174,343.9,2019-11-24,1513,W TREE
-37.4123,147.6053,319.5,2019-11-24,1514,MARTHAVALE
-37.4195,147.5913,302.3,2019-11-24,1514,MARTHAVALE
-37.4214,147.6031,320.1,2019-11-24,1514,MARTHAVALE
-37.4232,147.6146,320.6,2019-11-24,1514,MARTHAVALE
-37.4305,147.6006,311.5,2019-11-24,1514,MARTHAVALE
-37.4355,147.5923,300.2,2019-11-24,1514,MARTHAVALE
-37.4375,147.6043,317.4,2019-11-24,1514,MARTHAVALE
-37.4393,147.6159,311.9,2019-11-24,1514,MARTHAVALE
-37.6828,147.9267,315.6,2019-11-24,1514,NOWA NOWA
-37.6919,147.9245,313.9,2019-11-24,1514,NOWA NOWA
-36.9176,146.7415,320.8,2019-11-25,38,DANDONGADALE
-36.9741,146.6243,315.6,2019-11-25,38,ROSE RIVER
-37.0733,146.9264,312.8,2019-11-25,38,SELWYN
-37.2875,148.3073,321.4,2019-11-25,38,W TREE
-37.2896,148.3294,336.7,2019-11-25,38,W TREE
-37.2932,148.3206,351.7,2019-11-25,38,W TREE
-37.3036,148.2989,361.5,2019-11-25,38,W TREE
-37.3053,148.3191,352.0,2019-11-25,38,W TREE
-37.3073,148.3416,412.2,2019-11-25,38,W TREE
-37.3094,148.3664,349.6,2019-11-25,38,W TREE
-37.3139,148.2775,324.0,2019-11-25,38,W TREE
-37.3157,148.2977,366.7,2019-11-25,38,W TREE
-37.3175,148.3176,342.0,2019-11-25,38,W TREE
-37.3194,148.339,427.7,2019-11-25,38,W TREE
-37.3216,148.364,404.2,2019-11-25,38,W TREE
-37.3261,148.2764,345.8,2019-11-25,38,W TREE
-37.3278,148.2954,369.6,2019-11-25,38,W TREE
-37.3295,148.3154,364.5,2019-11-25,38,W TREE
-37.3315,148.3372,380.0,2019-11-25,38,W TREE
-37.3337,148.3626,377.0,2019-11-25,38,W TREE
-37.3416,148.3133,325.2,2019-11-25,38,W TREE
-37.6813,147.9359,359.1,2019-11-25,38,NOWA NOWA
-37.6832,147.9561,385.2,2019-11-25,38,NOWA NOWA
-37.685,147.9762,326.8,2019-11-25,38,NOWA NOWA
-37.6912,147.9134,419.5,2019-11-25,38,NOWA NOWA
-37.6932,147.9341,419.0,2019-11-25,38,NOWA NOWA
-37.6951,147.9546,459.5,2019-11-25,38,NOWA NOWA
-37.6969,147.9747,347.4,2019-11-25,38,NOWA NOWA
-37.7051,147.9324,351.0,2019-11-25,38,NOWA NOWA
-37.7069,147.9526,325.9,2019-11-25,38,NOWA NOWA
-37.685,147.9088,349.9,2019-11-25,38,NOWA NOWA
-37.6868,147.9293,367.0,2019-11-25,38,NOWA NOWA
-37.6885,147.9497,431.9,2019-11-25,38,NOWA NOWA
-37.6903,147.9698,377.9,2019-11-25,38,NOWA NOWA
-37.6968,147.9064,379.8,2019-11-25,38,NOWA NOWA
-37.6986,147.9272,408.9,2019-11-25,38,NOWA NOWA
-37.7004,147.9479,399.4,2019-11-25,38,NOWA NOWA
-37.7022,147.9682,352.5,2019-11-25,38,NOWA NOWA
-37.9054,145.2359,318.0,2019-11-25,39,SCORESBY
-38.2729,146.1113,320.0,2019-11-25,39,TRAFALGAR SOUTH
-38.2746,146.1277,328.1,2019-11-25,39,CHILDERS
-37.314,148.2875,332.9,2019-11-25,315,W TREE
-37.7,147.9012,322.0,2019-11-25,453,NOWA NOWA
-37.6848,147.8966,342.4,2019-11-25,453,BRUTHEN
-37.6697,147.8914,388.1,2019-11-25,453,BRUTHEN
-37.6549,147.8852,350.8,2019-11-25,453,DOUBLE BRIDGES
-37.6755,147.889,363.3,2019-11-25,453,BRUTHEN
-37.6605,147.8834,357.0,2019-11-25,453,BRUTHEN
-37.3461,148.3584,343.6,2019-11-25,453,W TREE
-37.3575,148.3141,331.7,2019-11-25,453,W TREE
-37.3401,148.3495,351.6,2019-11-25,453,W TREE
-37.31,148.3341,337.5,2019-11-25,453,W TREE
-37.2946,148.3282,386.7,2019-11-25,453,W TREE
-37.3043,148.2898,409.9,2019-11-25,453,W TREE
-37.3139,148.2518,320.6,2019-11-25,453,W TREE
-37.2785,148.3245,351.4,2019-11-25,453,W TREE
-37.3175,148.3279,327.3,2019-11-25,453,W TREE
-37.3267,148.2907,325.5,2019-11-25,453,W TREE
-37.3018,148.3232,374.2,2019-11-25,453,W TREE
-37.3111,148.2853,398.9,2019-11-25,453,W TREE
-37.2862,148.3178,384.0,2019-11-25,453,W TREE
-37.2958,148.2788,330.3,2019-11-25,453,W TREE
-36.9863,146.6345,326.5,2019-11-25,453,ROSE RIVER
-36.791,147.3839,309.1,2019-11-25,453,NELSE
-36.972,146.6301,313.3,2019-11-25,453,ROSE RIVER
-36.9137,146.7449,307.4,2019-11-25,453,DANDONGADALE
-36.7478,147.362,338.0,2019-11-25,453,NELSE
-36.7948,147.3759,308.2,2019-11-25,453,NELSE
-36.9709,146.6222,314.0,2019-11-25,453,ROSE RIVER
-36.9131,146.7385,309.4,2019-11-25,453,DANDONGADALE
-36.7417,147.3945,315.2,2019-11-25,453,MITTA MITTA
-36.7515,147.3536,331.0,2019-11-25,453,NELSE
-37.3593,148.2996,374.0,2019-11-25,1240,W TREE
-37.3611,148.2813,355.8,2019-11-25,1240,W TREE
-37.3417,148.3642,320.3,2019-11-25,1240,W TREE
-37.3432,148.3485,324.2,2019-11-25,1240,W TREE
-37.3447,148.3331,323.2,2019-11-25,1240,W TREE
-37.3463,148.3169,341.8,2019-11-25,1240,W TREE
-37.3482,148.2982,437.1,2019-11-25,1240,W TREE
-37.3501,148.279,398.1,2019-11-25,1240,W TREE
-37.3271,148.3983,314.6,2019-11-25,1240,YALMY
-37.3289,148.3803,326.1,2019-11-25,1240,YALMY
-37.3353,148.3152,336.4,2019-11-25,1240,W TREE
-37.3371,148.2969,379.2,2019-11-25,1240,W TREE
-37.339,148.2774,365.8,2019-11-25,1240,W TREE
-37.316,148.3968,314.0,2019-11-25,1240,YALMY
-37.3179,148.378,325.2,2019-11-25,1240,YALMY
-37.3279,148.2758,388.6,2019-11-25,1240,W TREE
-37.3295,148.2589,427.1,2019-11-25,1240,W TREE
-37.3313,148.2411,331.7,2019-11-25,1240,W TREE
-37.3069,148.3759,313.9,2019-11-25,1240,YALMY
-37.3151,148.2922,321.1,2019-11-25,1240,W TREE
-37.3168,148.2747,384.5,2019-11-25,1240,W TREE
-37.3184,148.2577,430.5,2019-11-25,1240,W TREE
-37.3201,148.2397,383.0,2019-11-25,1240,W TREE
-37.2975,148.3576,335.9,2019-11-25,1240,YALMY
